id,name_ch,province_id,zip_code
"1","北京市","2","100000"
"2","东城区","2","100010"
"3","西城区","2","100032"
"4","宣武区","2","100053"
"5","崇文区","2","100061"
"6","朝阳区","2","100020"
"7","海淀区","2","100080"
"8","丰台区","2","100071"
"9","门头沟区","2","102300"
"10","石景山区","2","100043"
"11","通县","2","101149"
"12","平觳县","2","101200"
"13","顺义县","2","101300"
"14","怀柔县","2","101400"
"15","密云县","2","101500"
"16","延庆县","2","102100"
"17","昌平县","2","102200"
"18","大兴县","2","102600"
"19","天津市","3","300000"
"20","河东区","3","300171"
"21","河西区","3","300202"
"22","河北区","3","300143"
"23","南开区","3","300100"
"24","红桥区","3","300131"
"25","塘沽区","3","300450"
"26","汉沽区","3","300480"
"27","东郊区","3","300300"
"28","南郊区","3","300350"
"29","西郊区","3","300380"
"30","北郊区","3","300400"
"31","大港区","3","300270"
"32","上海市","1","200000"
"33","长宁区","1","200050"
"34","卢湾区","1","200020"
"35","杨浦区","1","200082"
"36","吴松区","1","200940"
"37","闵行区","1","200240"
"38","闸北区","1","200070"
"39","南市区","1","200011"
"40","虹口区","1","200080"
"41","徐汇区","1","200030"
"42","黄浦区","1","200002"
"43","普陀区","1","200063"
"44","静安区","1","200040"
"45","上海县","1","201100"
"46","嘉定县","1","201800"
"47","宝山县","1","201900"
"48","川沙县","1","201200"
"49","南汇县","1","201300"
"50","奉贤县","1","201400"
"51","松江县","1","201600"
"52","金山县","1","201500"
"53","青浦县","1","201700"
"54","崇明县","1","202150"
"55","石家庄市","4","050000"
"56","石家庄市桥西区","4","050051"
"57","石家庄市桥东区","4","050011"
"58","石家庄市新华区","4","050051"
"59","石家庄市长安区","4","050011"
"60","石家庄市郊区","4","050081"
"61","石家庄市井陉矿区","4","050100"
"62","邯郸市","4","056002"
"63","武安市","4","056300"
"64","邢台市","4","054000"
"65","张家口市","4","075000"
"66","承德市","4","067000"
"67","唐山市","4","063000"
"68","秦皇岛市","4","066000"
"69","沧州市","4","061000"
"70","辛集市","4","052360"
"71","南宫市","4","051830"
"72","沙河市","4","054100"
"73","涿州市","4","072750"
"74","定州市","4","073000"
"75","廊坊市","4","102800"
"76","泊头市","4","062150"
"77","任丘市","4","062550"
"78","衡水市","4","053000"
"80","太原市","5","030000"
"81","太原市北城区","5","030009"
"82","太原市南城区","5","030002"
"83","太原市河西区","5","030024"
"84","太原市北郊区","5","030023"
"85","太原市南郊区","5","030032"
"86","古交市","5","030200"
"87","大同市","5","037000"
"88","阳泉市","5","045000"
"89","长治市","5","046000"
"90","晋城市","5","048000"
"91","朔州市","5","035500"
"92","忻州市","5","034000"
"93","榆次市","5","030600"
"94","临汾市","5","041000"
"95","候马市","5","043000"
"96","运城市","5","044000"
"97","呼和浩特市","6","010000"
"98","呼和浩特市玉泉区","6","010020"
"99","呼和浩特市新城区","6","010010"
"100","呼和浩特市回民区","6","010030"
"101","呼和浩特市郊区","6","010020"
"102","包头市","6","014000"
"103","乌海市","6","016000"
"104","赤峰市","6","024000"
"105","集宁市","6","012000"
"106","锡林浩特市","6","026003"
"107","二连浩特市","6","012600"
"108","海拉尔市","6","021008"
"109","满州里市","6","021400"
"110","牙克石市","6","022150"
"111","扎兰屯市","6","162650"
"112","通辽市","6","028000"
"113","东胜市","6","017004"
"114","乌兰浩特市","6","137400"
"115","沈阳市","7","110000"
"116","沈阳市和平区","7","110001"
"117","沈阳市沈河区","7","110011"
"118","沈阳市大东区","7","110042"
"119","沈阳市皇姑区","7","110031"
"120","沈阳市铁西区","7","110021"
"121","沈阳市苏家屯区","7","110101"
"122","沈阳市东陵区","7","110015"
"123","大连市","7","116002"
"124","大连市旅顺口区","7","116041"
"125","大连市西岗区","7","116012"
"126","大连市沙河口区","7","116021"
"127","大连市甘井子区","7","116034"
"128","大连市开发区","7","116600"
"129","大连市金州区","7","116100"
"130","瓦房店市","7","116300"
"131","鞍山市","7","114000"
"132","海城市","7","114200"
"133","抚顺市","7","113000"
"134","本溪市","7","117000"
"135","丹东市","7","118000"
"136","锦州市","7","121000"
"137","锦西市","7","121500"
"138","兴城市","7","121600"
"139","营口市","7","115000"
"140","阜新市","7","123000"
"141","辽阳市","7","111000"
"142","铁岭市","7","112000"
"143","铁法市","7","112700"
"144","开原市","7","112300"
"145","长春市","8","130000"
"146","长春市朝阳区","8","130061"
"147","长春市南开区","8","130042"
"148","长春市宽城区","8","130051"
"149","二通河","8","130031"
"150","九台市","8","130500"
"151","吉林市","8","132000"
"152","四平市","8","136000"
"153","桦甸市","8","132400"
"154","辽源市","8","136200"
"155","公主岭市","8","136100"
"156","梅河口市","8","135000"
"157","集安市","8","134200"
"158","通化市","8","134000"
"159","浑江市","8","134300"
"160","白城市","8","137000"
"161","扶余市","8","131200"
"162","大安市","8","131300"
"163","延吉市","8","133000"
"164","图门市","8","133100"
"165","敦化市","8","133700"
"166","龙井市","8","133400"
"167","珲春市","8","133300"
"168","哈尔滨市","9","150000"
"169","哈尔滨市道里区","9","150010"
"170","哈尔滨市南岗区","9","150006"
"171","哈尔滨市动力区","9","150040"
"172","哈尔滨市平房区","9","150060"
"173","哈尔滨市香坊区","9","150036"
"174","阿城市","9","150300"
"175","阿城市太平区","9","150050"
"176","阿城市道外区","9","150020"
"177","齐齐哈尔市","9","161000"
"178","鹤岗市","9","154100"
"179","双鸭山市","9","155100"
"180","鸡西市","9","158100"
"181","伊春市","9","153000"
"182","大庆市","9","163000"
"183","铁力市","9","152500"
"184","牡丹江市","9","157000"
"185","绥芬河市","9","157300"
"186","密山市","9","158300"
"187","富锦市","9","156100"
"188","七台河市","9","154600"
"189","尚志市","9","150600"
"190","双城市","9","150100"
"191","肇东市","9","151100"
"192","绥化市","9","152000"
"193","安达市","9","151400"
"194","黑河市","9","164300"
"195","北安市","9","164000"
"196","南京市","11","210000"
"197","南京市建邺区","11","210005"
"198","南京市玄武区","11","210018"
"199","南京市白下区","11","210002"
"200","南京市秦淮区","11","210001"
"201","南京市鼓楼区","11","210009"
"202","南京市下关区","11","210011"
"203","南京市浦口区","11","210031"
"204","南京市雨花台区","11","210012"
"205","南京市栖霞区","11","210046"
"206","徐州市","11","220005"
"207","徐州市鼓楼区","11","221005"
"208","徐州市云龙区","11","221009"
"209","徐州市郊区","11","221006"
"210","徐州市贾汪区","11","221011"
"211","连云港市","11","222000"
"212","淮阴市","11","223001"
"213","淮安市","11","223233"
"214","盐城市","11","224000"
"215","扬州市","11","225000"
"216","东台市","11","224200"
"217","泰州市","11","225300"
"218","仪征市","11","211400"
"219","兴化市","11","225700"
"220","南通市","11","226000"
"221","镇江市","11","212000"
"222","丹阳市","11","212300"
"223","常州市","11","213000"
"224","无锡市","11","214000"
"225","江阴市","11","214400"
"226","宜兴市","11","214200"
"227","苏州市","11","215000"
"228","常熟市","11","215500"
"229","张家港市","11","215600"
"230","杭州市","13","310000"
"231","杭州市上城区","13","310002"
"232","杭州市下城区","13","310006"
"233","杭州市西湖区","13","310007"
"234","杭州市江干区","13","310008"
"235","萧山市","13","311200"
"236","宁波市","13","315000"
"237","余姚市","13","315400"
"238","慈溪市","13","315300"
"239","奉化市","13","315500"
"240","温州市","13","325000"
"241","瑞安市","13","325200"
"242","嘉兴市","13","314000"
"243","湖州市","13","313000"
"244","绍兴市","13","312000"
"245","金华市","13","321000"
"246","兰溪市","13","321100"
"247","东阳市","13","322100"
"248","义乌市","13","322000"
"249","衢州市","13","324000"
"250","江山市","13","324100"
"251","舟山市","13","316000"
"252","临海市","13","317000"
"253","椒江市","13","317700"
"254","丽水市","13","323000"
"287","重庆市","31","400000"
"288","北碚区","31","400700"
"289","南桐矿区","31","400800"
"290","双桥区","31","400900"
"291","渝北区","31","401120"
"292","长寿县","31","401220"
"293","巴南区","31","401320"
"294","綦江县","31","401420"
"295","合川县","31","401520"
"296","永川县","31","402160"
"297","江津县","31","402260"
"298","大足县","31","402360"
"299","荣昌县","31","402460"
"300","铜梁县","31","402560"
"301","潼南县","31","402660"
"302","壁山县","31","402760"
"303","万县市","31","404000"
"304","万县","31","404100"
"305","忠县","31","404300"
"306","云阳县","31","404500"
"307","奉节县","31","404600"
"308","巫山县","31","404700"
"309","梁平县","31","405200"
"310","开县","31","405400"
"311","巫溪县","31","405800"
"312","城口县","31","405900"
"313","涪陵市","31","408000"
"314","李渡区","31","408100"
"315","丰都县","31","408200"
"316","垫江县","31","408300"
"317","南川县","31","408400"
"318","武隆县","31","408500"
"319","石柱土家族自治县","31","409100"
"320","彭水苗族土家族自治县","31","409600"
"321","黔江土家族苗族自治县","31","409000"
"322","酉阳土家族苗族自治县","31","409800"
"323","秀山土家族苗族自治县","31","409900"
"324","成都市","21","610000"
"325","成都市东城区","21","610016"
"326","成都市西城区","21","610031"
"327","成都市金牛区","21","610036"
"328","成都市龙泉驿区","21","610100"
"329","成都市青白江区","21","610300"
"330","都江堰市","21","611830"
"331","自贡市","21","643000"
"332","攀枝花市","21","617000"
"333","德阳市","21","618000"
"334","广汉市","21","618300"
"335","绵阳市","21","621000"
"336","江油市","21","621700"
"337","遂宁市","21","629000"
"338","内江市","21","641000"
"339","乐山市","21","614000"
"340","峨眉山市","21","614200"
"341","宜宾市","21","644000"
"342","涪陵市","21","648000"
"343","万县市","21","634000"
"344","南充市","21","637000"
"345","华莹市","21","638650"
"346","达县市","21","635000"
"347","雅安市","21","625000"
"348","西昌市","21","615000"
"349","合肥市","12","230000"
"350","合肥市西市区","12","230061"
"351","合肥市郊区","12","230041"
"352","淮南市","12","232001"
"353","淮北市","12","235000"
"354","芜湖市","12","241000"
"355","铜陵市","12","244000"
"356","蚌埠市","12","233000"
"357","马鞍山市","12","243001"
"358","安庆市","12","246003"
"359","池洲市","12","247100"
"360","黄山市","12","245000"
"361","宣城市","12","242000"
"362","六安市","12","237001"
"363","阜阳市","12","236033"
"364","福州市","14","350000"
"365","福州市马尾区","14","350015"
"366","福州市思明区","14","361001"
"367","福州市台江区","14","350004"
"368","福州市仓山区","14","350007"
"369","福州市郊区","14","350011"
"370","厦门市湖里区","14","361006"
"371","厦门市彭浪屿区","14","361002"
"372","厦门市开元区","14","361003"
"373","厦门市集美区","14","361021"
"374","厦门市杏林区","14","361022"
"375","厦门市","14","361000"
"376","三明市","14","365000"
"377","永安市","14","366000"
"378","莆田市","14","351100"
"379","泉州市","14","362000"
"380","石狮市","14","362700"
"381","晋江市","14","362200"
"382","漳州市","14","363000"
"383","南平市","14","353000"
"384","邵武市","14","354000"
"385","宁德市","14","352100"
"386","龙岩市","14","364000"
"387","南昌市","15","330000"
"388","南昌市西湖区","15","330003"
"389","南昌市东湖区","15","330008"
"390","南昌市青云谱区","15","330001"
"391","南昌市郊区","15","330006"
"392","南昌市湾里区","15","330004"
"393","景德镇市","15","333000"
"394","萍乡市","15","337000"
"395","新余市","15","336525"
"396","九江市","15","332000"
"397","鹰潭市","15","335000"
"398","上饶市","15","334000"
"399","宜春市","15","336000"
"400","抚州市","15","344100"
"401","吉安市","15","343000"
"402","井冈山市","15","343600"
"403","赣州市","15","341000"
"404","济南市","10","250000"
"405","济南市市中区","10","250002"
"406","济南市历下区","10","250031"
"407","济南市槐荫区","10","250021"
"408","济南市天桥区","10","250013"
"409","济南市历城区","10","250100"
"410","济南市章丘县","10","250200"
"411","济南市长清县","10","250300"
"412","济南市平阴县","10","250400"
"413","青岛市","10","266000"
"414","胶州市","10","266300"
"415","崂山县","10","266100"
"416","胶南市","10","266400"
"417","即墨市","10","266200"
"418","莱西市","10","266600"
"419","平度市","10","262800"
"420","淄博市","10","255000"
"421","桓台县","10","256400"
"422","枣庄市","10","277100"
"423","滕州市","10","277551"
"424","东营市","10","257092"
"425","垦利县","10","257500"
"426","利津县","10","257400"
"427","广饶县","10","257300"
"428","潍坊市","10","261000"
"429","青州市","10","262500"
"430","诸城市","10","262200"
"431","昌邑县","10","261300"
"432","高密县","10","261500"
"433","五莲县","10","262300"
"434","安丘县","10","262100"
"435","昌乐县","10","262400"
"436","临朐县","10","262600"
"437","寿光县","10","262700"
"438","烟台市","10","216400"
"439","龙口市","10","265700"
"440","莱阳市","10","265200"
"441","莱州市","10","261400"
"442","牟平县","10","264100"
"443","海阳县","10","265100"
"444","招远市","10","265400"
"445","栖霞县","10","265300"
"446","蓬莱市","10","265600"
"447","长岛县","10","265800"
"448","威海市","10","264200"
"449","荣城市","10","264300"
"450","文登市","10","264400"
"451","乳山县","10","264500"
